time,eptot,ektot,etot,temp,pres,volume,density,rmsd
150.0,-105657.1151,22757.0785,-82900.0367,299.4,0.0,,,0.0
151.0,-105451.8283,22816.9784,-82634.8499,300.19,0.0,,,0.0
152.0,-105574.3826,23104.3105,-82470.0721,303.97,0.0,,,0.0
153.0,-105273.7808,22691.9771,-82581.8037,298.55,0.0,,,0.0
154.0,-105558.1853,22754.8233,-82803.362,299.37,0.0,,,0.0
155.0,-105509.3924,22725.4631,-82783.9293,298.99,0.0,,,0.0
156.0,-105542.6649,22661.7553,-82880.9096,298.15,0.0,,,0.0
157.0,-105579.9223,22859.3662,-82720.5561,300.75,0.0,,,0.0
158.0,-105431.0863,22740.839,-82690.2472,299.19,0.0,,,0.0
159.0,-105586.9417,22842.155,-82744.7867,300.52,0.0,,,0.0
160.0,-105717.0069,22858.3812,-82858.6257,300.74,0.0,,,0.0
161.0,-105573.365,22874.2074,-82699.1576,300.94,0.0,,,0.0
162.0,-105605.8412,22997.5437,-82608.2975,302.57,0.0,,,0.0
163.0,-105299.9229,22834.2083,-82465.7146,300.42,0.0,,,0.0
164.0,-105425.26,22976.1251,-82449.1349,302.29,0.0,,,0.0
165.0,-105284.8065,22817.1253,-82467.6812,300.19,0.0,,,0.0
166.0,-105456.0776,22847.1941,-82608.8835,300.59,0.0,,,0.0
167.0,-105477.9651,22840.8219,-82637.1432,300.51,0.0,,,0.0
168.0,-105475.7992,22815.7415,-82660.0577,300.18,0.0,,,0.0
169.0,-105666.3452,22873.3812,-82792.964,300.93,0.0,,,0.0
170.0,-105619.3593,22908.4135,-82710.9458,301.39,0.0,,,0.0
171.0,-105600.9328,23060.968,-82539.9648,303.4,0.0,,,0.0
172.0,-105477.0642,22632.5686,-82844.4956,297.77,0.0,,,0.0
173.0,-105463.5544,22702.8797,-82760.6747,298.69,0.0,,,0.0
174.0,-105605.8388,22738.6587,-82867.1801,299.16,0.0,,,0.0
175.0,-105517.7768,22849.7767,-82668.0002,300.62,0.0,,,0.0
176.0,-105463.8315,22849.3098,-82614.5217,300.62,0.0,,,0.0
177.0,-105862.7229,22710.876,-83151.8469,298.8,0.0,,,0.0
178.0,-105516.8723,22590.3322,-82926.5402,297.21,0.0,,,0.0
179.0,-105474.6262,22808.9794,-82665.6468,300.09,0.0,,,0.0
180.0,-105435.0101,22826.9967,-82608.0133,300.32,0.0,,,0.0
181.0,-105602.6826,22621.7827,-82980.8998,297.62,0.0,,,0.0
182.0,-105593.6957,22792.5442,-82801.1515,299.87,0.0,,,0.0
